gen_sent	category	subject	masked_sent	few_prob	some_prob	many_prob	most_prob	all_prob
Spaceships can be used to travel through space.	quasidef	Spaceships	spaceships can be used to travel through space.means that<mask> spaceships can be used to travel through space.	1.9088012948031974e-07	0.0002649609523359686	1.9168079234077595e-05	5.614513429463841e-05	0.0002750588464550674
Screws have a tendency to loosen.	character	Screws	screws have a tendency to loosen.means that<mask> screws have a tendency to loosen.	2.188857024520985e-06	0.0005207067006267607	1.5941443507472286e-06	0.0010025386000052094	0.00013227401359472424
Remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	character	Remote controls	remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/backmeans that<mask> remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back	5.22907797062544e-08	4.6408316848101094e-05	1.6690581787770498e-06	1.344146539850044e-06	1.3756599628322874e-06
Pressure cookers are a great way to cook large batches.	character	Pressure cookers	pressure cookers are a great way to cook large batches.means that<mask> pressure cookers are a great way to cook large batches.	2.489229245838942e-06	9.89491818472743e-05	7.1275621849054005e-06	7.827420631656423e-05	1.034517481457442e-05
Pine trees are an important part of the natural environment.	quasidef	Pine trees	pine trees are an important part of the natural environment.means that<mask> pine trees are an important part of the natural environment.	1.963094837265089e-05	0.00020064503769390285	2.1804000425618142e-05	1.4254888810683042e-05	0.00013750727521255612
Inflammatory diseases may have multiple causes.	invirtue	Inflammatory diseases	inflammatory diseases may have multiple causes.means that<mask> inflammatory diseases may have multiple causes.	1.170225368696265e-05	0.006816748064011335	0.0007109225261956453	8.107125177048147e-05	5.661660907207988e-05
Inflammatory diseases may be caused by an imbalance of the immune system.	quasidef	Inflammatory diseases	inflammatory diseases may be caused by an imbalance of the immune system.means that<mask> inflammatory diseases may be caused by an imbalance of the immune system.	2.6758700641948963e-06	0.007190197240561247	0.0006348095485009253	0.000213146791793406	0.0001468975533498451
Zebras may be seen in the wild.	invirtue	Zebras	zebras may be seen in the wild.means that<mask> zebras may be seen in the wild.	4.3784715671790764e-05	0.00016615928325336426	6.292099715210497e-05	7.343385277636116e-06	1.759810038493015e-05
X-rays have been used to diagnose cancer in the past.	character	X-rays	x-rays have been used to diagnose cancer in the past.means that<mask> x-rays have been used to diagnose cancer in the past.	7.207876819848025e-07	0.0001768653601175174	6.195572495926172e-05	9.452396625420079e-06	1.93125906662317e-05
Water parks may be closed due to inclement weather or other unforeseen circumstances.	invirtue	Water parks	water parks may be closed due to inclement weather or other unforeseen circumstances.means that<mask> water parks may be closed due to inclement weather or other unforeseen circumstances.	4.117906883038813e-06	0.020955929532647133	0.0004491689905989915	0.00010153397306567058	0.0007113313185982406
Telephone books have lists of people.	quasidef	Telephone books	telephone books have lists of people.means that<mask> telephone books have lists of people.	1.0126695087819826e-05	0.0001921743096318096	0.00014373134763445705	0.0003925978671759367	0.0011700090253725648
Technologies are developed to address specific problems.	quasidef	Technologies	technologies are developed to address specific problems.means that<mask> technologies are developed to address specific problems.	1.026247537083691e-05	0.0003691557503771037	0.0006702334503643215	2.9329125027288683e-05	0.0006223366945050657
Technologies are designed to be used for a specific purpose.	quasidef	Technologies	technologies are designed to be used for a specific purpose.means that<mask> technologies are designed to be used for a specific purpose.	3.574607717382605e-06	0.00301739783026278	0.00043143361108377576	0.0010416536824777722	0.01646007038652897
Tank tops are a great way to keep cool.	quasidef	Tank tops	tank tops are a great way to keep cool.means that<mask> tank tops are a great way to keep cool.	1.4129818737274036e-06	0.0001879892952274531	3.4523454814916477e-06	8.70149779075291e-06	9.063092875294387e-06
Suitcases are used to transport goods from one location to another.	quasidef	Suitcases	suitcases are used to transport goods from one location to another.means that<mask> suitcases are used to transport goods from one location to another.	5.29143699168344e-06	0.0021248955745249987	0.0003525050706230104	0.0003009792126249522	7.109493162715808e-05
Strawberries have a mild flavor.	character	Strawberries	strawberries have a mild flavor.means that<mask> strawberries have a mild flavor.	0.00015879354032222182	0.0009948799852281809	7.222121894301381e-06	0.0004415870935190469	0.00017947374726645648
Stocks can be expected to go up.	character	Stocks	stocks can be expected to go up.means that<mask> stocks can be expected to go up.	4.721023742604302e-06	0.00016511631838511676	4.612149496097118e-05	0.00014315966109279543	0.00191739690490067
Stimulants are used to treat adhd.	invirtue	Stimulants	stimulants are used to treat adhd.means that<mask> stimulants are used to treat adhd.	2.3274712930287933e-06	0.0002046819863608107	6.464535545092076e-05	2.093759576382581e-05	1.8159837054554373e-05
Shoeboxes can be considered to be a good way to store items.	quasidef	Shoeboxes	shoeboxes can be considered to be a good way to store items.means that<mask> shoeboxes can be considered to be a good way to store items.	6.081239121158433e-07	0.0004976466298103333	2.1471625586855225e-05	3.2156152883544564e-05	8.59825831867056e-06
Screws are used to fasten two pieces of metal together.	invirtue	Screws	screws are used to fasten two pieces of metal together.means that<mask> screws are used to fasten two pieces of metal together.	3.745346475625411e-05	0.0007362281321547925	1.463979424443096e-05	0.0002108822955051437	3.529437162796967e-05
Scenes have to be shot in a certain way.	character	Scenes	scenes have to be shot in a certain way.means that<mask> scenes have to be shot in a certain way.	0.0001971468300325796	0.003281995886936784	0.00024775209021754563	0.0006980602047406137	0.005482749547809362
Sand dollars have been known to be found on the beaches.	quasidef	Sand dollars	sand dollars have been known to be found on the beaches.means that<mask> sand dollars have been known to be found on the beaches.	0.0004215766675770283	0.002910852199420333	0.0011177202686667442	4.9340589612256736e-05	7.836869190214202e-05
Routers should be configured.	quasidef	Routers	routers should be configured.means that<mask> routers should be configured.	8.192283189600857e-07	0.0005138127016834915	4.930724753648974e-05	0.0006345862639136612	0.0009001553407870233
Riverbanks may be used for recreational purposes.	character	Riverbanks	riverbanks may be used for recreational purposes.means that<mask> riverbanks may be used for recreational purposes.	1.9111380922254284e-08	2.1416135496110655e-05	6.510690582217649e-07	1.2824449413528782e-06	2.2208303107618121e-07
Registers are used to keep track of the state.	character	Registers	registers are used to keep track of the state.means that<mask> registers are used to keep track of the state.	3.8299390325846616e-07	0.00017830052820499986	0.00011567836918402463	2.0235207557561807e-05	0.00029502963298000395
Raccoons can be found in the wild.	quasidef	Raccoons	raccoons can be found in the wild.means that<mask> raccoons can be found in the wild.	0.00013961335935164243	0.0002447724109515548	0.00029433550662361085	4.677255856222473e-05	0.00010022172500612214
Quakes should be reported to the usgs earthquake hazards program.	character	Quakes	quakes should be reported to the usgs earthquake hazards program.means that<mask> quakes should be reported to the usgs earthquake hazards program.	5.513687142411072e-07	0.00025773036759346724	4.603037814376876e-05	0.00014701063628308475	0.00603769114241004
Pressure cookers may have a higher pressure.	quasidef	Pressure cookers	pressure cookers may have a higher pressure.means that<mask> pressure cookers may have a higher pressure.	8.079864244336932e-08	8.500130206812173e-05	9.495683457316773e-07	8.93164033186622e-05	1.855142386375519e-06
Pressure cookers have a maximum temperature.	character	Pressure cookers	pressure cookers have a maximum temperature.means that<mask> pressure cookers have a maximum temperature.	6.905216196173569e-06	0.00030150136444717646	6.539432797580957e-05	0.009979617781937122	0.0026344857178628445
Pressure cookers can be set to high or low temperatures.	character	Pressure cookers	pressure cookers can be set to high or low temperatures.means that<mask> pressure cookers can be set to high or low temperatures.	1.0145595297217369e-05	0.0007666865712963045	0.00013014374417252839	0.0035667805932462215	0.0011387696722522378
Porpoises have the ability to swim.	quasidef	Porpoises	porpoises have the ability to swim.means that<mask> porpoises have the ability to swim.	1.3461265098158037e-06	0.00012470311776269227	1.3606434549728874e-05	0.0002018857776420191	0.00041130767203867435
Planes have to fly at a certain altitude.	character	Planes	planes have to fly at a certain altitude.means that<mask> planes have to fly at a certain altitude.	1.6344698678949499e-06	0.000629512476734817	4.13613161072135e-05	0.0006442847661674023	0.011759270913898945
Perfumes may have a very strong smell.	invirtue	Perfumes	perfumes may have a very strong smell.means that<mask> perfumes may have a very strong smell.	9.31545491766883e-06	0.006646661553531885	7.749316864646971e-05	3.976464722654782e-05	1.3250351912574843e-05
Pecans produce a nutty, earthy flavor.	quasidef	Pecans	pecans produce a nutty, earthy flavor.means that<mask> pecans produce a nutty, earthy flavor.	4.465581696422305e-06	1.77593592525227e-05	3.7585519407912216e-07	1.17028439490241e-05	7.868798661547771e-07
Pecans may be eaten fresh, dried or roasted.	invirtue	Pecans	pecans may be eaten fresh, dried or roasted.means that<mask> pecans may be eaten fresh, dried or roasted.	1.9585802419896936e-06	1.4566603567800485e-05	4.6926820118642354e-07	2.9728143999818712e-05	7.082020147208823e-06
Newspapers are owned by the people who buy them.	character	Newspapers	newspapers are owned by the people who buy them.means that<mask> newspapers are owned by the people who buy them.	6.940112507436424e-05	0.0004454030131455511	0.0004466931859496981	0.0007222919375635684	0.002487817080691457
Musical notes may be played on a piano, guitar, banjo, ukulele, etc.	quasidef	Musical notes	musical notes may be played on a piano, guitar, banjo, ukulele, etc.means that<mask> musical notes may be played on a piano, guitar, banjo, ukulele, etc.	2.0450336535304814e-07	0.00021858132095076144	9.486575436312705e-06	7.243214440677548e-06	0.0001516305492259562
Molluscs may be eaten raw, cooked, or boiled.	quasidef	Molluscs	molluscs may be eaten raw, cooked, or boiled.means that<mask> molluscs may be eaten raw, cooked, or boiled.	1.2413472177286167e-05	0.0018166719237342477	3.661052687675692e-05	0.00027363697881810367	0.000295825710054487
Molluscs may be distinguished from other animals.	character	Molluscs	molluscs may be distinguished from other animals.means that<mask> molluscs may be distinguished from other animals.	4.0731706576480065e-06	0.001806830521672964	3.5535331335267983e-06	6.264910189202055e-05	5.558777411351912e-05
Mesh skimmers are used to steal credit card data.	quasidef	Mesh skimmers	mesh skimmers are used to steal credit card data.means that<mask> mesh skimmers are used to steal credit card data.	1.391468771316795e-07	0.00018410496704746038	1.8438995539327152e-05	6.22534062131308e-05	9.979169590224046e-06
Mango trees are grown for their fruit.	invirtue	Mango trees	mango trees are grown for their fruit.means that<mask> mango trees are grown for their fruit.	0.00012036417319905013	0.000502019131090492	0.00176583556458354	0.0006355252698995173	0.0004063449741806835
Mandibles are used to hold the teeth.	quasidef	Mandibles	mandibles are used to hold the teeth.means that<mask> mandibles are used to hold the teeth.	2.806607426464325e-07	0.0001662816503085196	1.2186052117613144e-05	4.151288521825336e-05	6.374716031132266e-05
Mandibles are made of bone.	character	Mandibles	mandibles are made of bone.means that<mask> mandibles are made of bone.	9.825270552710208e-08	0.0001179283790406771	1.657808206800837e-05	0.0007051865686662495	0.001288056024350226
Managements may have the right to terminate an employment relationship with an employee.	character	Managements	managements may have the right to terminate an employment relationship with an employee.means that<mask> managements may have the right to terminate an employment relationship with an employee.	7.3494450525402044e-09	5.627325299428776e-05	6.646956762779155e-07	6.443603524530772e-06	0.0001325644552707672
Lorries should only be used to transport people or goods.	character	Lorries	lorries should only be used to transport people or goods.means that<mask> lorries should only be used to transport people or goods.	3.153691920942947e-07	1.8827227904694155e-05	1.0808063052536454e-05	2.7261661671218462e-05	8.02877257228829e-05
Lorries are used to move goods from one place to another.	character	Lorries	lorries are used to move goods from one place to another.means that<mask> lorries are used to move goods from one place to another.	4.2245727627232554e-07	0.0001862334320321679	0.00013889548426959664	2.9256623747642152e-05	3.159460538881831e-05
Lorries are used to carry goods.	quasidef	Lorries	lorries are used to carry goods.means that<mask> lorries are used to carry goods.	4.764421817071707e-07	0.00010092641605297104	9.654595487518236e-05	3.2385356462327763e-05	0.00013806547212880105
Ladles are used for cooking.	quasidef	Ladles	ladles are used for cooking.means that<mask> ladles are used for cooking.	3.6780868413188728e-06	0.00013543390377890319	9.88148822216317e-05	3.9437934901798144e-05	7.738285057712346e-05
Lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	lactose intolerances have to do with an allergy to lactose.means that<mask> lactose intolerances have to do with an allergy to lactose.	2.838572982000187e-05	0.0012459915596991777	0.00043720670510083437	0.000907152658328414	0.00035666333860717714
Ice creams may be made with milk or cream.	quasidef	Ice creams	ice creams may be made with milk or cream.means that<mask> ice creams may be made with milk or cream.	6.717291398672387e-05	0.004733038134872913	4.44662946392782e-05	6.0813301388407126e-05	0.0009486156632192433
Hoes are used for plowing, sowing.	quasidef	Hoes	hoes are used for plowing, sowing.means that<mask> hoes are used for plowing, sowing.	5.798483471153304e-06	0.0002430799650028348	4.020989945274778e-05	6.936260615475476e-05	0.00011621855810517445
Hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	hippopotamus are herbivores that eat grasses.means that<mask> hippopotamus are herbivores that eat grasses.	1.150847765529761e-06	3.090106474701315e-05	1.1319800250930712e-05	5.2460363804129884e-05	4.058735430589877e-05
Guns may be used to kill.	invirtue	Guns	guns may be used to kill.means that<mask> guns may be used to kill.	7.969556463649496e-06	0.004386099986732006	0.0011924555292353034	1.9296880054753274e-05	8.777547191129997e-05
Grizzly bears have a diet.	invirtue	Grizzly bears	grizzly bears have a diet.means that<mask> grizzly bears have a diet.	9.65915546657925e-07	3.289717642473988e-05	9.501359272690024e-06	8.324648661073297e-05	0.0009485036716796458
Green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	green vegetables can be eaten raw or cooked.means that<mask> green vegetables can be eaten raw or cooked.	0.0006647336413152516	0.0010596405481919646	0.0002609848161228001	0.0007747492054477334	0.001556140836328268
Front yards are private property.	quasidef	Front yards	front yards are private property.means that<mask> front yards are private property.	9.518589649815112e-07	0.0002715461596380919	0.00013018203026149422	0.0005112110520713031	0.0033121202141046524
Experimental evidences should be treated with caution.	quasidef	Experimental evidences	experimental evidences should be treated with caution.means that<mask> experimental evidences should be treated with caution.	5.173666863811377e-07	3.2334017305402085e-05	2.0023873730679043e-05	3.5021879739360884e-05	0.00857267715036869
Experimental evidences may have to be interpreted with caution.	character	Experimental evidences	experimental evidences may have to be interpreted with caution.means that<mask> experimental evidences may have to be interpreted with caution.	1.1761051609937567e-05	0.0023242468014359474	0.0001276367111131549	0.00010662132990546525	0.0025117513723671436
Expeditions are organized by a group leader.	invirtue	Expeditions	expeditions are organized by a group leader.means that<mask> expeditions are organized by a group leader.	7.476042355847312e-06	0.0030005527660250664	0.0001457506587030366	0.002421119948849082	0.0035280815791338682
Evergreen trees can be planted.	character	Evergreen trees	evergreen trees can be planted.means that<mask> evergreen trees can be planted.	0.00013865347136743367	0.00039334726170636714	0.0003644694515969604	3.1615112675353885e-05	0.0006402930594049394
Events have an effect on the world.	character	Events	events have an effect on the world.means that<mask> events have an effect on the world.	2.0849656721111387e-05	0.003230031579732895	6.895291880937293e-05	7.296822150237858e-05	0.0005749480915255845
Dvd players are used for watching movies.	quasidef	Dvd players	dvd players are used for watching movies.means that<mask> dvd players are used for watching movies.	1.6866531495907111e-06	0.0004206078592687845	0.00014575026580132544	0.0004653871292248368	0.0002710093685891479
Detergents should be rinsed off after use.	quasidef	Detergents	detergents should be rinsed off after use.means that<mask> detergents should be rinsed off after use.	8.372001502721105e-06	0.0003388580516912043	5.016374052502215e-05	0.0008851962047629058	0.0011133257066830993
Decanters may have a maximum capacity.	quasidef	Decanters	decanters may have a maximum capacity.means that<mask> decanters may have a maximum capacity.	4.803298907063436e-06	0.000984413898549974	0.0001352480612695217	0.0008401981322094798	0.0002771281870082021
Cushions are made of a material.	quasidef	Cushions	cushions are made of a material.means that<mask> cushions are made of a material.	7.621192139595223e-07	9.039512951858342e-05	8.925546239879623e-07	0.0003796080418396741	0.0015077482676133513
Cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	cudgels can be made of metal, wood, stone, or any other material.means that<mask> cudgels can be made of metal, wood, stone, or any other material.	3.5498053421179065e-06	0.0002836128114722669	1.102709757105913e-05	9.365329606225714e-05	0.00059365393826738
Crabapples can be eaten raw or cooked.	invirtue	Crabapples	crabapples can be eaten raw or cooked.means that<mask> crabapples can be eaten raw or cooked.	4.884021109319292e-05	0.00031464669154956937	3.914724584319629e-05	9.12679752218537e-05	0.00027310827863402665
Coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunksmeans that<mask> coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	7.172687332968053e-07	5.291618663250119e-07	1.2485004390327958e-06	1.3713828593608923e-05	6.034049420122756e-07
Cough syrups have a sweet taste.	character	Cough syrups	cough syrups have a sweet taste.means that<mask> cough syrups have a sweet taste.	0.00016182824037969112	0.0017510985489934683	3.680003646877594e-05	0.000254283775575459	0.00013771381054539233
Cookers may be used to boil water or to boil pasta.	character	Cookers	cookers may be used to boil water or to boil pasta.means that<mask> cookers may be used to boil water or to boil pasta.	5.377663825356649e-08	1.0154046321986243e-05	1.8642152781467303e-06	5.62167952011805e-06	1.1793933936132817e-06
Cookbooks are written for people who cook.	quasidef	Cookbooks	cookbooks are written for people who cook.means that<mask> cookbooks are written for people who cook.	7.497600017813966e-05	0.00041349747334606946	0.0002982845762744546	0.001673416350968182	0.0010520630748942494
Concert halls should be equipped with a soundproofing system.	character	Concert halls	concert halls should be equipped with a soundproofing system.means that<mask> concert halls should be equipped with a soundproofing system.	4.202956915833056e-06	0.00011860943777719513	0.00021173214190639555	0.0003117428277619183	0.04174284636974335
Concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	concert halls have their own sound systems, which can be quite expensive.means that<mask> concert halls have their own sound systems, which can be quite expensive.	0.00016563078679610044	0.01815992221236229	0.010498725809156895	0.0029711320530623198	0.0037934728898108006
Coasters may have a maximum speed limit.	character	Coasters	coasters may have a maximum speed limit.means that<mask> coasters may have a maximum speed limit.	2.4383129471061693e-07	0.005386602133512497	1.2940091437485535e-05	0.00011739136971300468	0.001964976778253913
Clocks have to be synchronized.	character	Clocks	clocks have to be synchronized.means that<mask> clocks have to be synchronized.	4.472089585760841e-06	0.00025718871620483696	0.00013083365047350526	0.0006180412601679564	0.008560681715607643
Chapels are open to the public during regular hours.	character	Chapels	chapels are open to the public during regular hours.means that<mask> chapels are open to the public during regular hours.	0.00021741467935498804	0.0024592732079327106	0.0005551849026232958	0.0008518544491380453	0.002429140964522958
Camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	camps are set up to provide a safe, secure place to sleep.means that<mask> camps are set up to provide a safe, secure place to sleep.	3.049462247872725e-05	0.0005371021688915789	7.916404138086364e-05	0.00021156109869480133	0.0009007554617710412
Cameras have a maximum shutter speed.	quasidef	Cameras	cameras have a maximum shutter speed.means that<mask> cameras have a maximum shutter speed.	8.005386916920543e-06	0.00027772493194788694	0.000708780949935317	0.0013968197163194418	0.008875691331923008
Cameras are used to capture the world around us.	quasidef	Cameras	cameras are used to capture the world around us.means that<mask> cameras are used to capture the world around us.	7.577101314382162e-06	0.00016358138236682862	0.0007114455220289528	7.564531551906839e-05	0.00013746507465839386
Cakes can be purchased.	character	Cakes	cakes can be purchased.means that<mask> cakes can be purchased.	7.730333163635805e-05	0.0006836535758338869	0.00020298102754168212	1.7086515072151087e-05	0.00030294168391264975
Bulldozers are used for construction.	quasidef	Bulldozers	bulldozers are used for construction.means that<mask> bulldozers are used for construction.	1.1371284927008674e-05	6.663978274445981e-05	0.00030775685445405543	8.562357834307477e-05	9.755289647728205e-05
Bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	bluetooth speakers are meant to be used with a smartphone.means that<mask> bluetooth speakers are meant to be used with a smartphone.	2.872728828151594e-06	0.0007384403143078089	6.320239481283352e-05	0.0020962199196219444	0.0006412600050680339
Backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	backhoes can be found in the backyards, garages, basements, crawlspaces, etc.means that<mask> backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	7.666720921406522e-05	0.0005490462062880397	0.0005285930237732828	0.0006811997736804187	0.0001505051041021943
Baboons have been known to use their teeth.	character	Baboons	baboons have been known to use their teeth.means that<mask> baboons have been known to use their teeth.	4.8046909796539694e-05	0.00040875704144127667	9.899975702865049e-05	5.098248220747337e-05	9.460217552259564e-05
Assets are valued based on their current market value.	quasidef	Assets	assets are valued based on their current market value.means that<mask> assets are valued based on their current market value.	4.883355231299902e-08	0.00010182111873291433	1.1681660907925107e-05	2.3192065782495774e-05	0.011353952810168266
Assets are valued at their fair market values.	quasidef	Assets	assets are valued at their fair market values.means that<mask> assets are valued at their fair market values.	7.100106613755486e-10	2.171356783264855e-07	6.3596908148610964e-06	6.7421501626085956e-06	0.003944679629057646
Amino acids produce structural changes in proteins.	quasidef	Amino acids	amino acids produce structural changes in proteins.means that<mask> amino acids produce structural changes in proteins.	5.606926478662899e-08	4.6702405143150827e-07	1.6419370751918905e-07	2.8032118848386745e-07	7.707966176440095e-08
Alligators are found in Florida.	quasidef	Alligators	alligators are found in florida.means that<mask> alligators are found in florida.	3.588661911635427e-06	5.891427645110525e-05	5.566535401158035e-05	5.202085594646633e-05	0.00020588308689184487
Advertisements should focus on the product.	quasidef	Advertisements	advertisements should focus on the product.means that<mask> advertisements should focus on the product.	2.6092614007211523e-06	0.00015661734505556524	7.716508116573095e-05	0.0004692878283094615	0.004941142164170742
Frogs are smaller than most birds.	character	Frogs	frogs are smaller than most birds.means that<mask> frogs are smaller than most birds.	1.762571082508657e-05	0.0010065191891044378	7.037993054836988e-05	0.00199634931050241	0.0008815540932118893
Frogs are an important part of the ecosystem.	character	Frogs	frogs are an important part of the ecosystem.means that<mask> frogs are an important part of the ecosystem.	4.9077707444666885e-06	9.630851855035871e-05	3.550674227881245e-05	1.2548601262096781e-05	7.939359784359112e-05
Fabric softeners can be used for softening.	quasidef	Fabric softeners	fabric softeners can be used for softening.means that<mask> fabric softeners can be used for softening.	2.117551957780961e-05	0.001057552290149033	4.272272053640336e-05	4.636830999515951e-05	0.00019197513756807894
Fabric softeners can be considered to be a chemical.	character	Fabric softeners	fabric softeners can be considered to be a chemical.means that<mask> fabric softeners can be considered to be a chemical.	5.543414590647444e-05	0.005330063868314028	6.394612864824012e-05	0.0004149371525272727	0.0007263466250151396
Daffodils are a great way to brighten up your garden.	character	Daffodils	daffodils are a great way to brighten up your garden.means that<mask> daffodils are a great way to brighten up your garden.	1.6325611795764416e-05	0.0001805896172299981	2.523971943446668e-06	1.4622152093579643e-06	2.38960296883306e-06
Coincidences are everywhere in life.	character	Coincidences	coincidences are everywhere in life.means that<mask> coincidences are everywhere in life.	1.5137653463170864e-05	0.00040257530054077506	0.0001113929902203381	2.5489685867796652e-05	7.543598621850833e-05
Chimpanzees have been shown to be able to use tools.	character	Chimpanzees	chimpanzees have been shown to be able to use tools.means that<mask> chimpanzees have been shown to be able to use tools.	4.9647096602711827e-05	0.0002610346709843725	0.0001431963173672557	0.00018189818365499377	0.000509113073348999
Chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	chimpanzees are known to use tools to obtain food.means that<mask> chimpanzees are known to use tools to obtain food.	6.071313691791147e-05	0.0007582783582620323	0.00031516686431132257	0.0007504390086978674	0.0014109935145825148
Cameras should be able to see.	character	Cameras	cameras should be able to see.means that<mask> cameras should be able to see.	5.040516498411307e-06	0.0015669070417061448	0.0008137333206832409	0.0004664749139919877	0.0032341156620532274
Cameras have long been used to capture images.	quasidef	Cameras	cameras have long been used to capture images.means that<mask> cameras have long been used to capture images.	1.699571953395207e-06	9.76412629825063e-05	0.0005120890564285219	2.7733189199352637e-05	3.496884892228991e-05
Aquatic animals may be able to breathe air.	character	Aquatic animals	aquatic animals may be able to breathe air.means that<mask> aquatic animals may be able to breathe air.	3.7452603010024177e-06	0.001799560384824872	5.731018973165192e-05	7.630009349668398e-05	0.00014103933062870055
Aquatic animals are found in the water.	quasidef	Aquatic animals	aquatic animals are found in the water.means that<mask> aquatic animals are found in the water.	5.21772526553832e-05	0.0010558913927525282	0.0013396241702139378	0.0013081587385386229	0.0022495929151773453
Alligators are faster than humans on land.	invirtue	Alligators	alligators are faster than humans on land.means that<mask> alligators are faster than humans on land.	4.703062131738989e-06	0.00026177833206020296	7.461474888259545e-05	3.430514698266052e-05	0.0001998245861614123
